date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:37	55098/55098	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Sep%202020%2009:31:19%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html	(from )
16:39:38	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Aug%202021%2011:09:38%20GMT	https://www.atypicalthemes.com/robots.txt		(from )
16:39:38	3407/3407	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-57x57.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-57x57.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:38	3402/3402	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-60x60.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-60x60.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:39	3551/3551	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-72x72.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-72x72.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:39	3576/3576	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-76x76.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-76x76.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:40	3954/3954	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-114x114.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-114x114.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:40	4018/4018	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-120x120.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-120x120.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:41	4240/4240	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-144x144.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-144x144.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:42	4310/4310	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-152x152.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-152x152.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:42	4646/4646	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-180x180.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/apple-icon-180x180.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:42	4727/4727	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/android-icon-192x192.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/android-icon-192x192.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:43	3143/3143	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/favicon-32x32.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/favicon-32x32.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:43	4031/4031	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/favicon-96x96.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/favicon-96x96.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:43	2988/2988	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Oct%202018%2019:27:58%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/favicon-16x16.png	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/images/favicon/favicon-16x16.png	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:44	155758/155758	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202019%2012:39:10%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/bootstrap.min.css	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/bootstrap.min.css	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:44	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/font-awesome.min.css	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/font-awesome.min.css	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:44	4808/4808	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/animations.css	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/animations.css	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
16:39:46	2846/2846	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Oct%202018%2019:27:00%20GMT	https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/lightbox.min.css	C:/Users/saisr/Desktop/Sites/GameWebsite/www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/css/lightbox.min.css	(from https://www.atypicalthemes.com/portfolio/strider_demo/pages/StriderDark/Video/index.html)
